date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
23012019,22:00,23:00,723,746
23012019,23:00,00:00,728,746
24012019,00:00,01:00,734,748
24012019,01:00,02:00,738,752
24012019,02:00,03:00,738,751
24012019,03:00,04:00,739,757
24012019,04:00,05:00,739,759
24012019,05:00,06:00,739,761
24012019,06:00,07:00,738,762
24012019,07:00,08:00,738,764
24012019,08:00,09:00,738,765
24012019,09:00,10:00,739,765
24012019,10:00,11:00,739,764
24012019,11:00,12:00,739,763
24012019,12:00,13:00,739,764
24012019,13:00,14:00,738,764
24012019,14:00,15:00,738,764
24012019,15:00,16:00,738,764
24012019,16:00,17:00,737,764
24012019,17:00,18:00,737,764
24012019,18:00,19:00,737,764
24012019,19:00,20:00,738,764
24012019,20:00,21:00,737,764
24012019,21:00,22:00,737,765
24012019,22:00,23:00,738,765
24012019,23:00,00:00,738,765
25012019,00:00,01:00,737,765
25012019,01:00,02:00,738,764
25012019,02:00,03:00,738,765
25012019,03:00,04:00,737,765
25012019,04:00,05:00,739,766
25012019,05:00,06:00,739,765
25012019,06:00,07:00,738,764
25012019,07:00,08:00,731,759
25012019,08:00,09:00,732,759
25012019,09:00,10:00,732,762
25012019,10:00,11:00,733,764
25012019,11:00,12:00,732,766
25012019,12:00,13:00,732,766
25012019,13:00,14:00,733,764
25012019,14:00,15:00,738,765
25012019,15:00,16:00,744,764
25012019,16:00,17:00,739,765
25012019,17:00,18:00,741,765
25012019,18:00,19:00,741,765
25012019,19:00,20:00,740,765
25012019,20:00,21:00,739,766
25012019,21:00,22:00,671,764
25012019,22:00,23:00,562,765
25012019,23:00,00:00,400,723
26012019,00:00,01:00,408,751
26012019,01:00,02:00,553,753
26012019,02:00,03:00,555,763
26012019,03:00,04:00,556,763
26012019,04:00,05:00,734,754
26012019,05:00,06:00,745,764
26012019,06:00,07:00,744,764
26012019,07:00,08:00,741,760
26012019,08:00,09:00,642,648
26012019,09:00,10:00,743,761
26012019,10:00,11:00,743,762
26012019,11:00,12:00,743,762
26012019,12:00,13:00,742,762
26012019,13:00,14:00,742,762
26012019,14:00,15:00,744,763
26012019,15:00,16:00,744,764
26012019,16:00,17:00,719,753
26012019,17:00,18:00,719,763
26012019,18:00,19:00,719,752
26012019,19:00,20:00,716,748
26012019,20:00,21:00,529,540
26012019,21:00,22:00,500,477
26012019,22:00,23:00,479,487
26012019,23:00,00:00,311,305
27012019,00:00,01:00,213,215
27012019,01:00,02:00,179,181
