date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
26112018,15:00,16:00,110,108,113
26112018,16:00,17:00,106,108,113
26112018,17:00,18:00,105,108,113
26112018,18:00,19:00,105,108,111
26112018,19:00,20:00,105,108,111
26112018,20:00,21:00,108,108,111
26112018,21:00,22:00,111,108,113
26112018,22:00,23:00,111,108,109
26112018,23:00,00:00,110,109,109
27112018,00:00,01:00,102,100,94
27112018,01:00,02:00,106,103,91
27112018,02:00,03:00,105,103,91
27112018,03:00,04:00,106,104,91
27112018,04:00,05:00,106,108,93
27112018,05:00,06:00,106,108,105
27112018,06:00,07:00,111,109,113
27112018,07:00,08:00,111,110,115
27112018,08:00,09:00,111,110,113
27112018,09:00,10:00,111,109,111
27112018,10:00,11:00,111,105,104
27112018,11:00,12:00,112,100,100
27112018,12:00,13:00,112,109,102
27112018,13:00,14:00,112,110,104
27112018,14:00,15:00,111,110,112
27112018,15:00,16:00,112,110,114
27112018,16:00,17:00,112,110,112
27112018,17:00,18:00,112,110,113
27112018,18:00,19:00,112,110,112
27112018,19:00,20:00,112,110,111
27112018,20:00,21:00,113,110,102
27112018,21:00,22:00,113,110,106
27112018,22:00,23:00,113,110,106
27112018,23:00,00:00,109,108,96
28112018,00:00,01:00,106,107,82
28112018,01:00,02:00,106,107,78
28112018,02:00,03:00,106,107,80
28112018,03:00,04:00,106,107,92
28112018,04:00,05:00,105,107,98
28112018,05:00,06:00,107,109,108
28112018,06:00,07:00,107,109,111
28112018,07:00,08:00,106,109,116
28112018,08:00,09:00,108,107,118
28112018,09:00,10:00,109,102,118
28112018,10:00,11:00,110,103,115
28112018,11:00,12:00,109,103,109
28112018,12:00,13:00,109,105,114
28112018,13:00,14:00,108,109,116
28112018,14:00,15:00,111,113,115
28112018,15:00,16:00,112,115,116
28112018,16:00,17:00,112,115,118
