date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
23.01.2017,02:00,03:00,486.0,544.0
23.01.2017,03:00,04:00,486.0,545.0
23.01.2017,04:00,05:00,479.0,545.0
23.01.2017,05:00,06:00,596.0,644.0
23.01.2017,06:00,07:00,648.0,705.0
23.01.2017,07:00,08:00,648.0,707.0
23.01.2017,08:00,09:00,646.0,707.0
23.01.2017,09:00,10:00,646.0,706.0
23.01.2017,10:00,11:00,646.0,705.0
23.01.2017,11:00,12:00,647.0,706.0
23.01.2017,12:00,13:00,647.0,706.0
23.01.2017,13:00,14:00,646.0,706.0
23.01.2017,14:00,15:00,646.0,707.0
23.01.2017,15:00,16:00,647.0,706.0
23.01.2017,16:00,17:00,647.0,706.0
23.01.2017,17:00,18:00,647.0,706.0
23.01.2017,18:00,19:00,647.0,706.0
23.01.2017,19:00,20:00,647.0,706.0
23.01.2017,20:00,21:00,647.0,706.0
23.01.2017,21:00,22:00,646.0,706.0
23.01.2017,22:00,23:00,646.0,706.0
23.01.2017,23:00,00:00,646.0,706.0
24.01.2017,00:00,01:00,535.0,632.0
24.01.2017,01:00,02:00,471.0,542.0
24.01.2017,02:00,03:00,420.0,480.0
24.01.2017,03:00,04:00,420.0,480.0
24.01.2017,04:00,05:00,447.0,490.0
24.01.2017,05:00,06:00,603.0,656.0
24.01.2017,06:00,07:00,648.0,706.0
24.01.2017,07:00,08:00,645.0,707.0
24.01.2017,08:00,09:00,645.0,706.0
24.01.2017,09:00,10:00,645.0,705.0
24.01.2017,10:00,11:00,645.0,705.0
24.01.2017,11:00,12:00,645.0,705.0
24.01.2017,12:00,13:00,645.0,705.0
24.01.2017,13:00,14:00,645.0,705.0
24.01.2017,14:00,15:00,644.0,704.0
24.01.2017,15:00,16:00,645.0,704.0
24.01.2017,16:00,17:00,645.0,705.0
24.01.2017,17:00,18:00,645.0,704.0
24.01.2017,18:00,19:00,645.0,705.0
24.01.2017,19:00,20:00,646.0,706.0
24.01.2017,20:00,21:00,646.0,705.0
24.01.2017,21:00,22:00,645.0,706.0
24.01.2017,22:00,23:00,646.0,707.0
24.01.2017,23:00,00:00,447.0,523.0
25.01.2017,00:00,01:00,189.0,270.0
25.01.2017,01:00,02:00,124.0,177.0
25.01.2017,02:00,03:00,121.0,170.0
25.01.2017,03:00,04:00,122.0,169.0
25.01.2017,04:00,05:00,121.0,170.0
25.01.2017,05:00,06:00,146.0,208.0
25.01.2017,06:00,07:00,370.0,514.0
25.01.2017,07:00,08:00,644.0,708.0
25.01.2017,08:00,09:00,648.0,707.0
25.01.2017,09:00,10:00,646.0,706.0
25.01.2017,10:00,11:00,646.0,706.0
25.01.2017,11:00,12:00,646.0,706.0
25.01.2017,12:00,13:00,645.0,705.0
25.01.2017,13:00,14:00,646.0,706.0
25.01.2017,14:00,15:00,646.0,706.0
25.01.2017,15:00,16:00,646.0,706.0
25.01.2017,16:00,17:00,645.0,706.0
25.01.2017,17:00,18:00,645.0,704.0
25.01.2017,18:00,19:00,644.0,703.0
25.01.2017,19:00,20:00,644.0,703.0
25.01.2017,20:00,21:00,645.0,705.0
25.01.2017,21:00,22:00,645.0,706.0
25.01.2017,22:00,23:00,646.0,705.0
