date,start,end,11WD2NOR20001055
28012018,12:00,13:00,160
28012018,13:00,14:00,152
28012018,14:00,15:00,150
28012018,15:00,16:00,148
28012018,16:00,17:00,148
28012018,17:00,18:00,180
28012018,18:00,19:00,224
28012018,19:00,20:00,212
28012018,20:00,21:00,209
28012018,21:00,22:00,189
28012018,22:00,23:00,180
28012018,23:00,00:00,139
29012018,00:00,01:00,136
29012018,01:00,02:00,130
29012018,02:00,03:00,127
29012018,03:00,04:00,140
29012018,04:00,05:00,137
29012018,05:00,06:00,149
29012018,06:00,07:00,169
29012018,07:00,08:00,199
29012018,08:00,09:00,203
29012018,09:00,10:00,196
29012018,10:00,11:00,181
29012018,11:00,12:00,168
29012018,12:00,13:00,163
29012018,13:00,14:00,164
29012018,14:00,15:00,157
29012018,15:00,16:00,154
29012018,16:00,17:00,160
29012018,17:00,18:00,191
29012018,18:00,19:00,191
29012018,19:00,20:00,175
29012018,20:00,21:00,170
29012018,21:00,22:00,163
29012018,22:00,23:00,133
29012018,23:00,00:00,119
30012018,00:00,01:00,107
30012018,01:00,02:00,106
30012018,02:00,03:00,103
30012018,03:00,04:00,107
30012018,04:00,05:00,120
30012018,05:00,06:00,147
30012018,06:00,07:00,212
30012018,07:00,08:00,234
30012018,08:00,09:00,222
30012018,09:00,10:00,245
30012018,10:00,11:00,257
30012018,11:00,12:00,259
30012018,12:00,13:00,256
30012018,13:00,14:00,241
30012018,14:00,15:00,228
30012018,15:00,16:00,226
30012018,16:00,17:00,247
30012018,17:00,18:00,253
30012018,18:00,19:00,252
30012018,19:00,20:00,226
30012018,20:00,21:00,188
30012018,21:00,22:00,140
30012018,22:00,23:00,140
30012018,23:00,00:00,127
31012018,00:00,01:00,108
31012018,01:00,02:00,98
31012018,02:00,03:00,99
31012018,03:00,04:00,98
31012018,04:00,05:00,105
31012018,05:00,06:00,140
31012018,06:00,07:00,173
31012018,07:00,08:00,193
31012018,08:00,09:00,203
31012018,09:00,10:00,200
31012018,10:00,11:00,208
31012018,11:00,12:00,213
31012018,12:00,13:00,197
31012018,13:00,14:00,208
31012018,14:00,15:00,192
31012018,15:00,16:00,193
31012018,16:00,17:00,222
31012018,17:00,18:00,260
31012018,18:00,19:00,260
31012018,19:00,20:00,259
31012018,20:00,21:00,199
31012018,21:00,22:00,173
31012018,22:00,23:00,174
31012018,23:00,00:00,151
1022018,00:00,01:00,130
1022018,01:00,02:00,131
1022018,02:00,03:00,130
1022018,03:00,04:00,128
1022018,04:00,05:00,146
1022018,05:00,06:00,165
1022018,06:00,07:00,220
1022018,07:00,08:00,235
1022018,08:00,09:00,231
1022018,09:00,10:00,237
1022018,10:00,11:00,232
1022018,11:00,12:00,220
1022018,12:00,13:00,207
1022018,13:00,14:00,205
1022018,14:00,15:00,207
1022018,15:00,16:00,206
1022018,16:00,17:00,207
1022018,17:00,18:00,208
1022018,18:00,19:00,211
1022018,19:00,20:00,210
1022018,20:00,21:00,209
1022018,21:00,22:00,204
1022018,22:00,23:00,187
1022018,23:00,00:00,139
2022018,00:00,01:00,128
2022018,01:00,02:00,128
2022018,02:00,03:00,134
2022018,03:00,04:00,149
2022018,04:00,05:00,157
2022018,05:00,06:00,172
2022018,06:00,07:00,221
2022018,07:00,08:00,219
2022018,08:00,09:00,215
2022018,09:00,10:00,206
2022018,10:00,11:00,206
2022018,11:00,12:00,212
2022018,12:00,13:00,210
2022018,13:00,14:00,209
2022018,14:00,15:00,206
2022018,15:00,16:00,201
2022018,16:00,17:00,187
2022018,17:00,18:00,188
2022018,18:00,19:00,187
2022018,19:00,20:00,192
2022018,20:00,21:00,215
2022018,21:00,22:00,210
2022018,22:00,23:00,199
2022018,23:00,00:00,158
3022018,00:00,01:00,118
3022018,01:00,02:00,106
3022018,02:00,03:00,108
3022018,03:00,04:00,114
3022018,04:00,05:00,133
3022018,05:00,06:00,158
3022018,06:00,07:00,165
3022018,07:00,08:00,166
3022018,08:00,09:00,199
3022018,09:00,10:00,191
3022018,10:00,11:00,221
3022018,11:00,12:00,229
3022018,12:00,13:00,182
3022018,13:00,14:00,165
3022018,14:00,15:00,184
3022018,15:00,16:00,186
3022018,16:00,17:00,214
3022018,17:00,18:00,218
3022018,18:00,19:00,215
3022018,19:00,20:00,213
3022018,20:00,21:00,215
3022018,21:00,22:00,210
3022018,22:00,23:00,198
3022018,23:00,00:00,192
4022018,00:00,01:00,186
4022018,01:00,02:00,162
4022018,02:00,03:00,153
4022018,03:00,04:00,158
4022018,04:00,05:00,165
4022018,05:00,06:00,186
4022018,06:00,07:00,199
4022018,07:00,08:00,202
4022018,08:00,09:00,209
4022018,09:00,10:00,209
4022018,10:00,11:00,211
4022018,11:00,12:00,208
4022018,12:00,13:00,211
4022018,13:00,14:00,212
4022018,14:00,15:00,211
4022018,15:00,16:00,210
4022018,16:00,17:00,212
4022018,17:00,18:00,213
4022018,18:00,19:00,212
4022018,19:00,20:00,213
4022018,20:00,21:00,212
4022018,21:00,22:00,212
4022018,22:00,23:00,211
4022018,23:00,00:00,211
5022018,00:00,01:00,212
5022018,01:00,02:00,210
5022018,02:00,03:00,210
5022018,03:00,04:00,210
5022018,04:00,05:00,208
5022018,05:00,06:00,210
5022018,06:00,07:00,210
5022018,07:00,08:00,209
5022018,08:00,09:00,212
5022018,09:00,10:00,211
5022018,10:00,11:00,211
5022018,11:00,12:00,190
5022018,12:00,13:00,204
5022018,13:00,14:00,213
5022018,14:00,15:00,211
5022018,15:00,16:00,209
5022018,16:00,17:00,212
5022018,17:00,18:00,211
5022018,18:00,19:00,211
5022018,19:00,20:00,210
5022018,20:00,21:00,210
5022018,21:00,22:00,211
5022018,22:00,23:00,209
5022018,23:00,00:00,207
6022018,00:00,01:00,208
6022018,01:00,02:00,207
6022018,02:00,03:00,208
6022018,03:00,04:00,207
6022018,04:00,05:00,207
6022018,05:00,06:00,209
6022018,06:00,07:00,211
6022018,07:00,08:00,211
6022018,08:00,09:00,210
6022018,09:00,10:00,211
6022018,10:00,11:00,212
6022018,11:00,12:00,210
6022018,12:00,13:00,193
6022018,13:00,14:00,198
6022018,14:00,15:00,206
6022018,15:00,16:00,212
6022018,16:00,17:00,206
6022018,17:00,18:00,211
6022018,18:00,19:00,209
6022018,19:00,20:00,212
6022018,20:00,21:00,212
6022018,21:00,22:00,215
6022018,22:00,23:00,212
6022018,23:00,00:00,210
7022018,00:00,01:00,208
7022018,01:00,02:00,210
7022018,02:00,03:00,210
7022018,03:00,04:00,209
7022018,04:00,05:00,209
7022018,05:00,06:00,211
7022018,06:00,07:00,213
7022018,07:00,08:00,213
7022018,08:00,09:00,212
7022018,09:00,10:00,213
7022018,10:00,11:00,212
7022018,11:00,12:00,213
7022018,12:00,13:00,213
7022018,13:00,14:00,212
7022018,14:00,15:00,212
7022018,15:00,16:00,213
7022018,16:00,17:00,212
7022018,17:00,18:00,212
7022018,18:00,19:00,211
7022018,19:00,20:00,207
7022018,20:00,21:00,203
7022018,21:00,22:00,199
7022018,22:00,23:00,206
7022018,23:00,00:00,205
8022018,00:00,01:00,208
8022018,01:00,02:00,210
8022018,02:00,03:00,210
8022018,03:00,04:00,202
8022018,04:00,05:00,204
8022018,05:00,06:00,210
8022018,06:00,07:00,211
8022018,07:00,08:00,210
8022018,08:00,09:00,209
8022018,09:00,10:00,216
8022018,10:00,11:00,216
8022018,11:00,12:00,224
8022018,12:00,13:00,222
8022018,13:00,14:00,199
8022018,14:00,15:00,186
8022018,15:00,16:00,213
8022018,16:00,17:00,217
8022018,17:00,18:00,220
8022018,18:00,19:00,216
8022018,19:00,20:00,215
8022018,20:00,21:00,211
8022018,21:00,22:00,204
8022018,22:00,23:00,205
8022018,23:00,00:00,209
9022018,00:00,01:00,208
9022018,01:00,02:00,209
9022018,02:00,03:00,207
9022018,03:00,04:00,208
9022018,04:00,05:00,207
9022018,05:00,06:00,207
9022018,06:00,07:00,207
9022018,07:00,08:00,209
9022018,08:00,09:00,213
9022018,09:00,10:00,209
9022018,10:00,11:00,208
9022018,11:00,12:00,211
9022018,12:00,13:00,211
9022018,13:00,14:00,211
9022018,14:00,15:00,210
9022018,15:00,16:00,211
9022018,16:00,17:00,211
9022018,17:00,18:00,211
9022018,18:00,19:00,209
9022018,19:00,20:00,211
9022018,20:00,21:00,208
9022018,21:00,22:00,209
9022018,22:00,23:00,209
9022018,23:00,00:00,205
10022018,00:00,01:00,204
10022018,01:00,02:00,209
10022018,02:00,03:00,207
10022018,03:00,04:00,207
10022018,04:00,05:00,206
10022018,05:00,06:00,206
10022018,06:00,07:00,208
10022018,07:00,08:00,204
10022018,08:00,09:00,205
10022018,09:00,10:00,208
10022018,10:00,11:00,208
10022018,11:00,12:00,207
10022018,12:00,13:00,206
10022018,13:00,14:00,206
10022018,14:00,15:00,209
10022018,15:00,16:00,206
10022018,16:00,17:00,207
10022018,17:00,18:00,207
10022018,18:00,19:00,208
10022018,19:00,20:00,211
10022018,20:00,21:00,210
10022018,21:00,22:00,211
10022018,22:00,23:00,207
10022018,23:00,00:00,166
11022018,00:00,01:00,132
11022018,01:00,02:00,140
11022018,02:00,03:00,142
11022018,03:00,04:00,145
11022018,04:00,05:00,163
11022018,05:00,06:00,199
11022018,06:00,07:00,207
11022018,07:00,08:00,208
