date,start,end,11WD2STA4000065N
3022016,18:00,19:00,481
3022016,19:00,20:00,484
3022016,20:00,21:00,421
3022016,21:00,22:00,249
3022016,22:00,23:00,244
3022016,23:00,00:00,270
4022016,00:00,01:00,316
4022016,01:00,02:00,355
4022016,02:00,03:00,274
4022016,03:00,04:00,231
4022016,04:00,05:00,0
4022016,05:00,06:00,0
4022016,06:00,07:00,144
4022016,07:00,08:00,244
4022016,08:00,09:00,303
4022016,09:00,10:00,438
4022016,10:00,11:00,505
4022016,11:00,12:00,510
4022016,12:00,13:00,486
4022016,13:00,14:00,498
4022016,14:00,15:00,451
4022016,15:00,16:00,448
4022016,16:00,17:00,433
4022016,17:00,18:00,417
4022016,18:00,19:00,413
4022016,19:00,20:00,414
4022016,20:00,21:00,445
4022016,21:00,22:00,404
4022016,22:00,23:00,361
4022016,23:00,00:00,345
5022016,00:00,01:00,363
5022016,01:00,02:00,345
5022016,02:00,03:00,299
5022016,03:00,04:00,255
5022016,04:00,05:00,299
5022016,05:00,06:00,332
5022016,06:00,07:00,454
5022016,07:00,08:00,475
5022016,08:00,09:00,450
5022016,09:00,10:00,472
5022016,10:00,11:00,473
5022016,11:00,12:00,442
5022016,12:00,13:00,444
5022016,13:00,14:00,440
5022016,14:00,15:00,446
5022016,15:00,16:00,444
5022016,16:00,17:00,428
5022016,17:00,18:00,400
5022016,18:00,19:00,419
5022016,19:00,20:00,421
5022016,20:00,21:00,311
5022016,21:00,22:00,213
5022016,22:00,23:00,43
5022016,23:00,00:00,0
6022016,00:00,01:00,0
6022016,01:00,02:00,0
6022016,02:00,03:00,0
6022016,03:00,04:00,0
6022016,04:00,05:00,0
6022016,05:00,06:00,0
6022016,06:00,07:00,0
6022016,07:00,08:00,151
6022016,08:00,09:00,237
6022016,09:00,10:00,257
6022016,10:00,11:00,307
6022016,11:00,12:00,289
6022016,12:00,13:00,249
6022016,13:00,14:00,308
6022016,14:00,15:00,249
6022016,15:00,16:00,305
6022016,16:00,17:00,314
6022016,17:00,18:00,264
6022016,18:00,19:00,349
6022016,19:00,20:00,304
6022016,20:00,21:00,288
6022016,21:00,22:00,296
6022016,22:00,23:00,388
6022016,23:00,00:00,327
7022016,00:00,01:00,242
7022016,01:00,02:00,226
7022016,02:00,03:00,227
7022016,03:00,04:00,227
7022016,04:00,05:00,229
7022016,05:00,06:00,157
7022016,06:00,07:00,0
7022016,07:00,08:00,0
7022016,08:00,09:00,0
7022016,09:00,10:00,0
7022016,10:00,11:00,0
7022016,11:00,12:00,0
7022016,12:00,13:00,0
7022016,13:00,14:00,0
7022016,14:00,15:00,0
7022016,15:00,16:00,0
7022016,16:00,17:00,0
7022016,17:00,18:00,0
7022016,18:00,19:00,0
7022016,19:00,20:00,0
7022016,20:00,21:00,0
7022016,21:00,22:00,0
7022016,22:00,23:00,0
7022016,23:00,00:00,0
8022016,00:00,01:00,0
8022016,01:00,02:00,96
8022016,02:00,03:00,218
8022016,03:00,04:00,219
8022016,04:00,05:00,222
8022016,05:00,06:00,223
8022016,06:00,07:00,223
8022016,07:00,08:00,222
8022016,08:00,09:00,222
8022016,09:00,10:00,221
8022016,10:00,11:00,222
8022016,11:00,12:00,222
8022016,12:00,13:00,222
