date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
26042019,01:00,02:00,73,0,33
26042019,02:00,03:00,73,0,33
26042019,03:00,04:00,73,0,33
26042019,04:00,05:00,97,32,46
26042019,05:00,06:00,66,67,64
26042019,06:00,07:00,99,106,74
26042019,07:00,08:00,107,111,78
26042019,08:00,09:00,108,111,79
26042019,09:00,10:00,102,104,78
26042019,10:00,11:00,97,99,78
26042019,11:00,12:00,107,109,83
26042019,12:00,13:00,107,110,82
26042019,13:00,14:00,102,104,80
26042019,14:00,15:00,102,104,80
26042019,15:00,16:00,105,107,80
26042019,16:00,17:00,107,109,81
26042019,17:00,18:00,107,109,80
26042019,18:00,19:00,105,107,80
26042019,19:00,20:00,86,88,74
26042019,20:00,21:00,91,92,74
26042019,21:00,22:00,61,87,67
26042019,22:00,23:00,0,101,37
26042019,23:00,00:00,0,50,23
27042019,00:00,01:00,0,1,0
27042019,01:00,02:00,0,0,0
27042019,02:00,03:00,0,0,0
27042019,03:00,04:00,0,0,0
27042019,04:00,05:00,0,0,0
27042019,05:00,06:00,0,0,0
27042019,06:00,07:00,0,0,0
27042019,07:00,08:00,0,0,0
27042019,08:00,09:00,0,0,0
27042019,09:00,10:00,0,0,0
27042019,10:00,11:00,0,0,0
27042019,11:00,12:00,0,0,0
27042019,12:00,13:00,0,0,0
27042019,13:00,14:00,0,0,0
27042019,14:00,15:00,0,0,0
27042019,15:00,16:00,0,0,0
27042019,16:00,17:00,0,0,0
27042019,17:00,18:00,0,0,0
27042019,18:00,19:00,0,0,0
27042019,19:00,20:00,0,0,0
27042019,20:00,21:00,0,0,0
27042019,21:00,22:00,0,0,0
27042019,22:00,23:00,0,0,0
27042019,23:00,00:00,0,0,0
28042019,00:00,01:00,0,0,0
28042019,01:00,02:00,0,0,0
28042019,02:00,03:00,0,0,0
28042019,03:00,04:00,0,0,0
28042019,04:00,05:00,0,0,0
28042019,05:00,06:00,0,0,0
28042019,06:00,07:00,0,0,0
28042019,07:00,08:00,0,0,0
28042019,08:00,09:00,0,0,0
28042019,09:00,10:00,0,0,0
28042019,10:00,11:00,0,0,0
28042019,11:00,12:00,0,0,0
28042019,12:00,13:00,0,0,0
28042019,13:00,14:00,0,0,0
28042019,14:00,15:00,0,0,0
28042019,15:00,16:00,0,0,0
28042019,16:00,17:00,0,0,0
28042019,17:00,18:00,25,0,0
28042019,18:00,19:00,40,0,0
28042019,19:00,20:00,50,0,12
28042019,20:00,21:00,70,0,22
28042019,21:00,22:00,85,0,31
28042019,22:00,23:00,85,0,32
28042019,23:00,00:00,84,0,32
29042019,00:00,01:00,78,0,31
29042019,01:00,02:00,75,0,31
