date,start,end,11WD4HLBR1C7---4
5022018,14:00,15:00,737
5022018,15:00,16:00,734
5022018,16:00,17:00,732
5022018,17:00,18:00,734
5022018,18:00,19:00,735
5022018,19:00,20:00,737
5022018,20:00,21:00,735
5022018,21:00,22:00,734
5022018,22:00,23:00,734
5022018,23:00,00:00,733
6022018,00:00,01:00,659
6022018,01:00,02:00,602
6022018,02:00,03:00,596
6022018,03:00,04:00,599
6022018,04:00,05:00,602
6022018,05:00,06:00,643
6022018,06:00,07:00,728
6022018,07:00,08:00,723
6022018,08:00,09:00,724
6022018,09:00,10:00,725
6022018,10:00,11:00,724
6022018,11:00,12:00,720
6022018,12:00,13:00,711
6022018,13:00,14:00,707
6022018,14:00,15:00,714
6022018,15:00,16:00,723
6022018,16:00,17:00,727
6022018,17:00,18:00,723
6022018,18:00,19:00,714
6022018,19:00,20:00,715
6022018,20:00,21:00,716
6022018,21:00,22:00,726
6022018,22:00,23:00,729
6022018,23:00,00:00,612
7022018,00:00,01:00,297
7022018,01:00,02:00,456
7022018,02:00,03:00,600
7022018,03:00,04:00,602
7022018,04:00,05:00,604
7022018,05:00,06:00,677
7022018,06:00,07:00,728
7022018,07:00,08:00,728
7022018,08:00,09:00,726
7022018,09:00,10:00,730
7022018,10:00,11:00,732
7022018,11:00,12:00,735
7022018,12:00,13:00,739
7022018,13:00,14:00,740
7022018,14:00,15:00,737
7022018,15:00,16:00,738
7022018,16:00,17:00,737
7022018,17:00,18:00,734
7022018,18:00,19:00,737
7022018,19:00,20:00,734
7022018,20:00,21:00,562
7022018,21:00,22:00,721
7022018,22:00,23:00,740
7022018,23:00,00:00,736
8022018,00:00,01:00,695
8022018,01:00,02:00,599
8022018,02:00,03:00,561
8022018,03:00,04:00,505
8022018,04:00,05:00,503
8022018,05:00,06:00,625
8022018,06:00,07:00,734
8022018,07:00,08:00,732
8022018,08:00,09:00,737
8022018,09:00,10:00,734
8022018,10:00,11:00,729
8022018,11:00,12:00,736
8022018,12:00,13:00,735
8022018,13:00,14:00,723
8022018,14:00,15:00,730
8022018,15:00,16:00,731
8022018,16:00,17:00,733
8022018,17:00,18:00,733
8022018,18:00,19:00,729
8022018,19:00,20:00,730
8022018,20:00,21:00,732
8022018,21:00,22:00,733
8022018,22:00,23:00,733
8022018,23:00,00:00,733
9022018,00:00,01:00,727
9022018,01:00,02:00,665
9022018,02:00,03:00,589
9022018,03:00,04:00,579
9022018,04:00,05:00,581
9022018,05:00,06:00,623
9022018,06:00,07:00,716
9022018,07:00,08:00,718
9022018,08:00,09:00,732
9022018,09:00,10:00,727
9022018,10:00,11:00,729
9022018,11:00,12:00,732
9022018,12:00,13:00,734
9022018,13:00,14:00,734
9022018,14:00,15:00,730
9022018,15:00,16:00,730
9022018,16:00,17:00,732
9022018,17:00,18:00,731
9022018,18:00,19:00,727
9022018,19:00,20:00,724
9022018,20:00,21:00,728
9022018,21:00,22:00,733
9022018,22:00,23:00,734
9022018,23:00,00:00,733
10022018,00:00,01:00,733
10022018,01:00,02:00,733
10022018,02:00,03:00,732
10022018,03:00,04:00,734
10022018,04:00,05:00,736
10022018,05:00,06:00,735
10022018,06:00,07:00,735
10022018,07:00,08:00,732
10022018,08:00,09:00,736
10022018,09:00,10:00,733
10022018,10:00,11:00,734
10022018,11:00,12:00,735
10022018,12:00,13:00,734
10022018,13:00,14:00,736
10022018,14:00,15:00,736
10022018,15:00,16:00,733
10022018,16:00,17:00,722
10022018,17:00,18:00,714
10022018,18:00,19:00,681
10022018,19:00,20:00,598
10022018,20:00,21:00,523
10022018,21:00,22:00,414
10022018,22:00,23:00,408
10022018,23:00,00:00,362
11022018,00:00,01:00,176
11022018,01:00,02:00,180
11022018,02:00,03:00,182
11022018,03:00,04:00,179
11022018,04:00,05:00,183
11022018,05:00,06:00,184
11022018,06:00,07:00,182
