Datum;Anfang;Ende;Generation_DE A [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE Neurath C [MW] Originalauflösungen;Generation_DE Neurath D [MW] Originalauflösungen;Generation_DE Neurath E [MW] Originalauflösungen;Generation_DE Neurath F [MW] Originalauflösungen;Generation_DE Neurath G [MW] Originalauflösungen
14.01.2023;23:00;00:00;-;-;0;0;284;481;0
15.01.2023;00:00;01:00;-;-;0;0;285;481;0
15.01.2023;01:00;02:00;-;-;0;0;282;483;0
15.01.2023;02:00;03:00;-;-;0;0;285;483;0
15.01.2023;03:00;04:00;-;-;0;0;283;486;0
15.01.2023;04:00;05:00;-;-;0;0;286;479;0
15.01.2023;05:00;06:00;-;-;0;0;283;485;0
15.01.2023;06:00;07:00;-;-;0;0;287;480;0
15.01.2023;07:00;08:00;-;-;0;0;286;483;0
15.01.2023;08:00;09:00;-;-;0;0;286;480;0
15.01.2023;09:00;10:00;-;-;0;0;286;483;0
15.01.2023;10:00;11:00;-;-;0;0;286;483;0
15.01.2023;11:00;12:00;-;-;0;0;286;482;0
15.01.2023;12:00;13:00;-;-;0;0;284;483;0
15.01.2023;13:00;14:00;-;-;0;0;285;483;0
15.01.2023;14:00;15:00;-;-;0;0;284;481;0
15.01.2023;15:00;16:00;-;-;0;0;285;481;0
15.01.2023;16:00;17:00;-;-;0;0;285;483;0
15.01.2023;17:00;18:00;-;-;0;0;285;484;0
15.01.2023;18:00;19:00;-;-;0;0;285;711;0
15.01.2023;19:00;20:00;-;-;0;0;286;713;0
15.01.2023;20:00;21:00;-;-;0;0;286;515;0
15.01.2023;21:00;22:00;-;-;0;0;287;480;0
15.01.2023;22:00;23:00;-;-;0;0;285;479;0
15.01.2023;23:00;00:00;-;-;0;0;285;479;0
16.01.2023;00:00;01:00;-;-;0;0;287;479;0
16.01.2023;01:00;02:00;-;-;0;0;285;482;0
16.01.2023;02:00;03:00;-;-;0;0;287;480;0
16.01.2023;03:00;04:00;-;-;0;0;287;514;244
16.01.2023;04:00;05:00;-;-;0;0;292;627;530
16.01.2023;05:00;06:00;-;-;10;153;462;986;791
16.01.2023;06:00;07:00;-;-;139;290;508;1.032;1.012
16.01.2023;07:00;08:00;-;-;262;311;531;1.032;1.032
16.01.2023;08:00;09:00;-;-;288;315;530;1.027;1.033
16.01.2023;09:00;10:00;-;-;288;459;531;1.027;1.037
16.01.2023;10:00;11:00;-;-;287;513;532;1.029;1.032
16.01.2023;11:00;12:00;-;-;288;499;532;1.027;1.037
16.01.2023;12:00;13:00;-;-;288;546;536;1.027;1.033
16.01.2023;13:00;14:00;-;-;288;553;537;1.030;1.040
16.01.2023;14:00;15:00;-;-;288;550;536;1.028;1.035
16.01.2023;15:00;16:00;-;-;288;556;536;1.032;1.039
16.01.2023;16:00;17:00;-;-;288;556;535;1.024;1.045
16.01.2023;17:00;18:00;-;-;288;555;538;1.029;1.046
16.01.2023;18:00;19:00;-;-;288;555;535;1.027;1.046
16.01.2023;19:00;20:00;-;-;288;556;537;1.031;1.046
16.01.2023;20:00;21:00;-;-;288;557;537;1.035;1.044
16.01.2023;21:00;22:00;-;-;288;556;536;1.028;1.049
16.01.2023;22:00;23:00;-;-;288;557;536;862;1.046
16.01.2023;23:00;00:00;-;-;287;557;536;838;1.046
17.01.2023;00:00;01:00;-;-;287;555;537;1.005;1.046
17.01.2023;01:00;02:00;-;-;288;557;536;1.032;1.047
17.01.2023;02:00;03:00;-;-;288;556;537;1.035;1.045
17.01.2023;03:00;04:00;-;-;288;556;536;1.028;1.049
17.01.2023;04:00;05:00;-;-;288;557;537;1.033;1.046
17.01.2023;05:00;06:00;-;-;288;556;536;1.032;1.047
17.01.2023;06:00;07:00;-;-;288;556;536;1.031;1.047
17.01.2023;07:00;08:00;-;-;288;556;536;1.031;1.045
17.01.2023;08:00;09:00;-;-;288;556;536;1.034;1.043
17.01.2023;09:00;10:00;-;-;288;557;538;1.029;1.048
17.01.2023;10:00;11:00;-;-;288;556;536;1.035;1.044
17.01.2023;11:00;12:00;-;-;288;557;537;1.033;1.046
17.01.2023;12:00;13:00;-;-;288;556;536;1.029;1.049
17.01.2023;13:00;14:00;-;-;288;557;537;1.033;1.047
17.01.2023;14:00;15:00;-;-;288;555;536;1.034;1.034
17.01.2023;15:00;16:00;-;-;288;556;537;1.030;1.039
17.01.2023;16:00;17:00;-;-;288;557;537;1.032;1.044
17.01.2023;17:00;18:00;-;-;288;556;536;1.031;1.040
17.01.2023;18:00;19:00;-;-;288;556;537;1.032;1.032
17.01.2023;19:00;20:00;-;-;288;556;537;1.031;1.032
17.01.2023;20:00;21:00;-;-;288;557;536;1.034;1.044
17.01.2023;21:00;22:00;-;-;288;557;536;1.032;1.045
17.01.2023;22:00;23:00;-;-;288;556;537;787;804
17.01.2023;23:00;00:00;-;-;287;556;536;506;517
18.01.2023;00:00;01:00;-;-;288;556;537;508;518
18.01.2023;01:00;02:00;-;-;288;556;536;511;519
18.01.2023;02:00;03:00;-;-;288;556;536;510;519
18.01.2023;03:00;04:00;-;-;288;556;536;514;516
18.01.2023;04:00;05:00;-;-;288;555;536;508;527
18.01.2023;05:00;06:00;-;-;288;557;536;588;891
18.01.2023;06:00;07:00;-;-;288;557;538;990;1.056
18.01.2023;07:00;08:00;-;-;288;556;536;1.031;1.044
18.01.2023;08:00;09:00;-;-;288;557;536;1.028;1.046
18.01.2023;09:00;10:00;-;-;288;556;536;1.028;1.046
